id,action,details,created_at
log_rep_48_1785854327201,Milk (দুধ) (Stock IN (+)),'+2 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_49_1785854327201,Dahi (দই / Curd) (Stock IN (+)),'+4 kg | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_50_1785854327201,Paneer (পনির) (Stock IN (+)),'+150 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_51_1785854327201,Butter (Stock IN (+)),'+1 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_52_1785854327201,Amul Fresh Cream (Stock IN (+)),'+5 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_53_1785854327201,Cheese Block / Slice (Stock IN (+)),'+1 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_1785860827605_wym9,Kissan Tomato Sauce Pouch (Stock IN (+)),'+180 pcs | Manual IN entry recorded for J047,2026-08-04T16:27:07.618Z
log_1785860841586_sxxh,Jaljeera Powder (Stock IN (+)),'+50 pcs | Manual IN entry recorded for J048,2026-08-04T16:27:21.589Z
log_1785860857242_0sl2,Egg (ডিম) (Stock IN (+)),'+7 packet | Manual IN entry recorded for J052,2026-08-04T16:27:37.245Z
log_1785861297263_lswr,Cheese Block / Slice (Delete wrong IN),'+1 packet | Deleted wrong IN entry for SKU J059,2026-08-04T16:34:57.267Z
log_1785861316346_ozjk,Cheese Block / Slice (Stock IN (+)),'+8 pcs | Manual IN entry recorded for J059,2026-08-04T16:35:16.351Z
log_1785864757555_1bl8,Palm Oil (পাম অয়েল) (Stock OUT (-)),'-23 packet | Manual OUT entry recorded for J002,2026-08-04T17:32:37.557Z
log_1785864785551_jk75,Chowmein Noodle (চাউমিন) (Stock OUT (-)),'-15 packet | Manual OUT entry recorded for J007,2026-08-04T17:33:05.553Z
log_1785864807774_vpf6,Tomato Sauce (টমেটো sos) (Stock OUT (-)),'-4 packet | Manual OUT entry recorded for J008,2026-08-04T17:33:27.775Z
log_1785864849200_aj2v,Kasuri Methi (Stock OUT (-)),'-3 pcs | Manual OUT entry recorded for J013,2026-08-04T17:34:09.202Z
